Name,Studio,UPC,Price,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 Portal 2 - PC,Valve,0014633098808,29.99,Everyone 10+,Mac OS X,4/19/2011,5.3000 x 0.6000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/647/3-56647.jpg
 The Sims 3 - PC,Electronic Arts,0014633153903,19.99,Teen,Mac OS X,6/2/2009,Unknown,0.4267 lbs.,https://secure.coverart.bookstores.com/large/631/3-7631.jpg
 Dragon Age 2 - PC,Electronic Arts,0014633194999,19.99,Mature,Mac OS X,3/8/2011,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/659/3-10659.jpg
 Diablo,Blizzard,0020626711883,39.99,Mature,Mac,1/17/2044,4.9000 x 0.4000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/409/3-11409.jpg
 IGT Slots: Wolf Run - Mac,Masque Publishing,0098252104225,19.99,Teen,Mac OS X Intel,9/1/2010,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/508/3-19508.jpg
 The Sims 2 Pets Expansion Pack - Mac,Aspyr Media,0618870115009,34.99,Teen,Mac,11/1/2006,5.3000 x 1.1000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/756/3-2756.jpg
 Call of Duty 4: Modern Warfare - Mac,Aspyr Media,0618870117607,39.99,Mature,Mac OS X Intel,5/8/2011,5.3000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/772/3-2772.jpg
 The Sims 2 Bon Voyage - Mac,Aspyr Media,0618870117805,34.99,Teen,Mac,12/10/2007,Unknown,0.3300 lbs.,https://secure.coverart.bookstores.com/large/548/3-19548.jpg
 Nancy Drew: Trail of the Twister - Mac,Her Interactive,0767861600779,19.99,Everyone,Mac OS X Intel,6/29/2010,5.4000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/691/3-10691.jpg
 Nancy Drew: Shadow at the Water's Edge - PC/Mac,Her Interactive,0767861600793,19.99,Everyone 10+,Mac OS X Intel,10/19/2010,Unknown,0.3000 lbs.,https://secure.coverart.bookstores.com/large/657/3-10657.jpg
 Age Of Empires III - Mac,Microsoft,0828068103248,49.99,Teen,Mac OS X Intel,11/21/2006,5.3500 x 1.4200,0.5300 lbs.,https://secure.coverart.bookstores.com/large/755/3-2755.jpg
 Age of Empires III: The War Chiefs Expansion Pack,Destineer,0828068103309,10.0,Teen,Mac,6/12/2007,5.3000 x 0.9000,0.3500 lbs.,https://secure.coverart.bookstores.com/large/526/3-19526.jpg
